aereo,ac_id,D,date,time,time_sec
AA66927135,ADR79F,EDDF,2017-08-17,12:36:24,45384
AA66962300,DLH9MA,EDDF,2017-08-17,12:38:54,45534
AA66973183,GLJ94UC,EDDF,2017-08-17,12:38:57,45537
AA66960992,DLH7H,EDDF,2017-08-17,12:41:36,45696
AA66954980,DLH451,EDDF,2017-08-17,12:42:24,45744
AA66961718,DLH803,EDDF,2017-08-17,12:42:49,45769
AA66953141,DLH741,EDDF,2017-08-17,12:46:10,45970
AA66955856,IAW235,EDDF,2017-08-17,12:46:12,45972
AA66953743,DLH543,EDDF,2017-08-17,12:49:59,46199
AA66962328,DLH3FM,EDDF,2017-08-17,12:52:43,46363
AA66960072,QTR8223,EDDF,2017-08-17,12:53:11,46391
AA66963049,DLH6AF,EDDF,2017-08-17,12:54:20,46460
AA66963043,DLH1WU,EDDF,2017-08-17,12:55:56,46556
AA66961649,DLH85E,EDDF,2017-08-17,12:56:23,46583
AA66952987,GEC8401,EDDF,2017-08-17,12:57:08,46628
AA66971305,KAL535,EDDF,2017-08-17,12:58:51,46731
AA66961458,DLH881,EDDF,2017-08-17,13:01:51,46911
AA66963621,DLH8UV,EDDF,2017-08-17,13:02:21,46941
AA66961810,DLH891,EDDF,2017-08-17,13:04:41,47081
AA66962243,DLH2LC,EDDF,2017-08-17,13:05:10,47110
AA66952807,DLH737,EDDF,2017-08-17,13:06:56,47216
AA66962319,DLH887,EDDF,2017-08-17,13:07:22,47242
AA66961476,DLH68P,EDDF,2017-08-17,13:09:49,47389
AA66962073,DLH5YX,EDDF,2017-08-17,13:09:58,47398
AA66963299,DLH5P,EDDF,2017-08-17,13:12:22,47542
AA66963050,DLH3K,EDDF,2017-08-17,13:12:24,47544
AA66963641,DLH3YA,EDDF,2017-08-17,13:14:10,47650
AA66962288,DLH3EV,EDDF,2017-08-17,13:14:40,47680
AA66962488,DLH5KW,EDDF,2017-08-17,13:15:41,47741
AA66961843,DLH09P,EDDF,2017-08-17,13:16:28,47788
AA66961605,DLH4XV,EDDF,2017-08-17,13:17:09,47829
AA66962108,DLH7HP,EDDF,2017-08-17,13:18:22,47902
AA66946822,DLH4PL,EDDF,2017-08-17,13:18:43,47923
